Ref,Val,Package,PosX,PosY,Rot,Side
"BT","KMR221GLFS","SW_KMR221GLFS",29.650000,6.655000,-90.000000,top
"C1","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.577500,30.990000,0.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.577500,27.980000,0.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.577500,24.970000,0.000000,top
"C4","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.577500,21.960000,0.000000,top
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.577500,18.950000,0.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.577500,15.940000,0.000000,top
"D1","PRTR5V0U2X","SOT-143",23.910000,16.310000,-90.000000,top
"D2","MBR120LSFT1G","D_SOD-123F",16.487500,29.692500,90.000000,top
"D4","IR26-21C_L110_TR8","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",22.607500,28.770000,180.000000,top
"Q1","MMBT2222ALT1G","SOT-23-3",28.827500,12.420000,-90.000000,top
"Q2","MMBT2222ALT1G","SOT-23-3",12.657500,12.080000,-90.000000,top
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",28.667500,31.030000,0.000000,top
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",28.667500,28.080000,0.000000,top
"R3","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",28.667500,25.130000,0.000000,top
"R4","5.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",28.667500,22.180000,0.000000,top
"R5","5.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",28.667500,19.230000,0.000000,top
"R6","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",28.667500,16.280000,0.000000,top
"R7","80","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",22.772500,31.310000,180.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",33.260000,59.990000,0.000000,top
"RST","KMR221GLFS","SW_KMR221GLFS",11.730000,6.485000,90.000000,top
"U1","AP2112K-3.3TRG1","SOT-23-5",17.810000,16.190000,0.000000,top
"U2","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",20.615000,22.625000,90.000000,top
"U3","ESP32-WROVER-E","ESP32-WROVER-E",20.777500,49.430000,0.000000,top
